Run,air_temperature_regimen,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collected_by,Collection_Date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),growth_facility,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,organism_common_name,Organism,plant_developmental_stage,plant_growth_medium,plant_structure,Platform,ploidy,ReleaseDate,Sample Name,sample_name,sample_storage_temperature,sampling_time_point,SRA Study,Submitter_Id,subspecific_genetic_lineage_rank
ERR6004302,18-25 ?C,RNA-Seq,51,467545560,PRJEB45523,SAMEA8902046,182630339,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644862,SAMEA8902046,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902046,GC078081,-80?C,"0,5",ERP129642,GC078081,Canadian wonder
ERR6004304,18-25 ?C,RNA-Seq,51,371853444,PRJEB45523,SAMEA8902048,144039042,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644864,SAMEA8902048,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,20days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902048,GC078083,-80?C,"0,5",ERP129642,GC078083,Canadian wonder
ERR6004305,18-25 ?C,RNA-Seq,51,290590503,PRJEB45523,SAMEA8902049,112922480,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644865,SAMEA8902049,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902049,GC078084,-80?C,"0,5",ERP129642,GC078084,Pinto
ERR6004307,18-25 ?C,RNA-Seq,51,356724753,PRJEB45523,SAMEA8902051,136326121,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644867,SAMEA8902051,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902051,GC078086,-80?C,"0,5",ERP129642,GC078086,Pinto
ERR6004309,18-25 ?C,RNA-Seq,51,350581191,PRJEB45523,SAMEA8902053,134516493,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644869,SAMEA8902053,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,20days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902053,GC078088,-80?C,"0,5",ERP129642,GC078088,Canadian wonder
ERR6004311,18-25 ?C,RNA-Seq,51,342393906,PRJEB45523,SAMEA8902055,131807227,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644871,SAMEA8902055,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902055,GC078090,-80?C,"0,5",ERP129642,GC078090,Rosecoco
ERR6004313,18-25 ?C,RNA-Seq,51,221845563,PRJEB45523,SAMEA8902057,83945249,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644873,SAMEA8902057,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30 days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902057,GC078092,-80?C,"0,5",ERP129642,GC078092,Pinto
ERR6004314,18-25 ?C,RNA-Seq,51,277951275,PRJEB45523,SAMEA8902058,107668603,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644874,SAMEA8902058,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,15days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902058,GC078093,-80?C,"0,5",ERP129642,GC078093,Pinto
ERR6004316,18-25 ?C,RNA-Seq,51,203494998,PRJEB45523,SAMEA8902060,81782389,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644876,SAMEA8902060,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,20days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902060,GC078095,-80?C,"0,5",ERP129642,GC078095,Pinto
ERR6004320,18-25 ?C,RNA-Seq,51,760381542,PRJEB45523,SAMEA8902064,355332144,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644880,SAMEA8902064,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902064,GC078099,-80?C,"0,5",ERP129642,GC078099,Pinto
